Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.885461807,0.9816318,-1.522638,-1.069991,-0.06777592,-0.7083446,0.7100158,3.782777,42.69617,-13.37396,992.2458
0.893071175,1.352002,-0.6986692,-0.8242279,-0.07994754,-0.705587,0.7087197,3.782777,42.69617,-13.37396,992.2458
0.903216362,1.102573,-1.050501,-0.8230773,-0.06786186,-0.7020324,0.7057817,3.782777,42.69617,-13.37396,992.2458
0.910820961,0.9159839,-0.6381707,-0.8834905,-0.06639271,-0.704891,0.7037547,3.782777,42.69617,-13.37396,992.2458
0.918430328,1.472024,-0.3438047,-0.5767146,-0.07951456,-0.7040799,0.7029078,3.782777,42.69617,-13.37396,992.2458
0.926038742,1.470501,-0.3434623,-0.7598143,-0.07960247,-0.6953824,0.7016514,3.766622,43.43402,-13.82384,992.244
0.933648109,1.035796,-0.2254702,-0.820364,-0.08292459,-0.6926689,0.7168384,3.766622,43.43402,-13.82384,992.244
0.941256523,1.034781,-0.8128612,-0.7584024,-0.08345093,-0.6964313,0.7055542,3.766622,43.43402,-13.82384,992.244
0.948865890,1.033845,-0.69463,-0.8800844,-0.07236542,-0.6899894,0.7022051,3.766622,43.43402,-13.82384,992.244
0.956474304,0.4757146,0.2461346,-0.6958237,-0.08253336,-0.6810974,0.7185671,3.766622,43.43402,-13.82384,992.244
0.964083672,-0.08173434,-0.4004427,-0.7562608,-0.08491442,-0.6916742,0.7110344,3.766622,43.43402,-13.82384,992.244
0.971692562,-0.6385607,-0.3412127,-0.9390374,-0.07951233,-0.7036064,0.7038928,4.152253,43.0625,-13.38032,992.244
0.979301929,-0.1428863,-0.6347299,-0.6934171,-0.06634131,-0.7059143,0.710061,4.152253,43.0625,-13.38032,992.244
0.986913204,-0.6997912,0.3059968,-0.3868203,-0.05956866,-0.6981733,0.7170041,4.152253,43.0625,-13.38032,992.244
0.994519711,-0.94661,0.658049,-0.01932378,-0.06933054,-0.7053692,0.699385,4.152253,43.0625,-13.38032,992.244
1.004664898,-0.3265119,1.479664,0.2253975,-0.06406011,-0.6856705,0.7158731,4.152253,43.0625,-13.38032,992.244
1.012273311,-2.24484,2.59468,0.5312055,-0.08350527,-0.6806315,0.7190731,4.152253,43.0625,-13.38032,992.2479
1.019882679,-2.7377,2.35712,0.2859696,-0.08935805,-0.6830488,0.71176,3.390666,44.17392,-13.37629,992.2479
1.027491569,-2.363943,2.707535,-0.1425245,-0.09795193,-0.6800178,0.7377111,3.390666,44.17392,-13.37629,992.2479
1.035100460,-3.846895,2.411035,-0.7542964,-0.1165012,-0.6796299,0.7232639,3.390666,44.17392,-13.37629,992.2479
1.042709350,-4.709794,0.7634364,-1.548981,-0.08362009,-0.6895289,0.6896474,3.390666,44.17392,-13.37629,992.2479
1.050322532,-3.343838,2.2908,-1.425048,-0.08854765,-0.687775,0.7540089,3.390666,44.17392,-13.37629,992.2479
1.057927131,-4.268789,2.22942,-1.852026,-0.1091647,-0.6881922,0.7195941,3.390666,44.17392,-13.37629,992.2479
1.065536499,-6.125226,1.229406,-2.769774,-0.07258651,-0.6984572,0.7302528,3.390666,44.17392,-13.37629,992.2479
1.073144913,-6.249081,2.934527,-1.851367,-0.06132513,-0.7198943,0.7150487,3.77825,43.06499,-13.3757,992.2479
1.080754280,-5.69173,4.051675,-1.545232,-0.06680101,-0.7116737,0.7060341,3.77825,43.06499,-13.3757,992.2479
1.088362694,-6.372937,4.051675,-1.239096,-0.08137676,-0.7089778,0.708165,3.77825,43.06499,-13.3757,992.2479
1.098508358,-6.682576,3.169716,-1.484004,-0.07065045,-0.7227286,0.6960673,3.77825,43.06499,-13.3757,992.2479
1.106117248,-6.187153,2.993324,-1.36155,-0.06531339,-0.727424,0.6890957,3.77825,43.06499,-13.3757,992.2479
1.113721847,-5.010524,3.992878,-0.6268244,-0.06585148,-0.7168745,0.695678,3.77825,43.06499,-13.3757,992.2479
1.121331215,-5.072452,4.580851,-0.9329602,-0.08485071,-0.7012918,0.7073997,3.796979,42.69573,-12.48115,992.2479
1.128940105,-6.558721,3.110919,-0.9329602,-0.07123946,-0.7173515,0.6879197,3.796979,42.69573,-12.48115,992.2462
1.136548996,-5.072452,3.816486,-0.8105059,-0.06717972,-0.7184969,0.7126948,3.796979,42.69573,-12.48115,992.2462
1.144157886,-5.567875,4.051675,-0.2594616,-0.06001213,-0.7172981,0.6970809,3.796979,42.69573,-12.48115,992.2462
1.151767254,-6.311009,4.580851,0.2303556,-0.05704389,-0.7306808,0.6870035,3.796979,42.69573,-12.48115,992.2462
1.159379482,-5.444019,4.81604,0.8426271,-0.05064743,-0.7264309,0.7055553,3.796979,42.69573,-12.48115,992.2462
1.166985035,-5.567875,6.227174,1.761034,-0.0671284,-0.7314334,0.7026519,4.161307,42.32487,-13.37685,992.2462
1.174593448,-5.320163,6.227174,1.822261,-0.08540524,-0.7131169,0.680831,4.161307,42.32487,-13.37685,992.2462
1.182202816,-5.939442,5.286418,1.761034,-0.08479714,-0.7137548,0.6983418,4.161307,42.32487,-13.37685,992.2462
1.189815521,-6.496793,5.46281,1.883489,-0.0813316,-0.717617,0.7030926,4.161307,42.32487,-13.37685,992.2462
1.199956894,-6.063298,6.403566,2.005943,-0.07993615,-0.7122741,0.7012584,4.161307,42.32487,-13.37685,992.2462
1.207565784,-7.301855,6.991539,2.49576,-0.06373556,-0.7170881,0.7214649,4.161307,42.32487,-13.37685,992.2462
1.215174675,-8.726195,8.049891,3.78153,-0.04423376,-0.72554,0.7220802,4.161307,42.32487,-13.37685,992.2462
1.222784042,-9.531258,10.40178,5.128528,-0.04778079,-0.7144186,0.7150655,3.787924,43.43336,-12.48462,992.2462
1.230392456,-10.27439,13.34165,6.291843,-0.0565023,-0.7054951,0.7299555,3.787924,43.43336,-12.48462,992.2462
1.238001823,-12.62765,15.22316,6.720433,-0.07781442,-0.6867628,0.7631966,3.787924,43.43336,-12.48462,992.2462
1.245611191,-17.45802,17.16347,6.536752,-0.08514012,-0.6801212,0.7658474,3.787924,43.43336,-12.48462,992.2462
1.253219604,-20.61635,21.51447,6.230616,-0.09599862,-0.6735299,0.8211187,3.787924,43.43336,-12.48462,992.2445
1.260828495,-23.52695,22.04364,6.965342,-0.1636723,-0.6700921,0.7248496,3.787924,43.43336,-12.48462,992.2445
1.268437385,-30.15324,11.40134,4.761165,-0.07048118,-0.6835992,0.8479429,4.185183,42.69281,-11.59296,992.2445
1.276046753,-38.57543,19.22137,7.700068,-0.05004181,-0.7186797,0.8070213,4.185183,42.69281,-11.59296,992.2445
1.283655643,-39.19471,22.9256,9.536882,-0.1145773,-0.6940693,0.7735544,4.185183,42.69281,-11.59296,992.2445
1.293800831,-45.44942,24.16035,8.373567,-0.1616626,-0.6579627,0.8244588,4.185183,42.69281,-11.59296,992.2484
1.301410198,-55.54366,20.10333,6.475525,-0.1546277,-0.6694493,0.7715391,4.185183,42.69281,-11.59296,992.2484
1.309014797,-60.80753,19.92694,5.434663,-0.1312382,-0.6783354,0.7721124,4.185183,42.69281,-11.59296,992.2484
1.316623688,-64.70899,21.74966,4.699937,-0.1215746,-0.6788219,0.8372751,4.196415,43.42982,-10.321,992.2484
1.324232578,-72.88347,21.45567,4.455029,-0.1459561,-0.661626,0.772138,4.196415,43.42982,-10.321,992.2484
1.331845760,-80.81023,19.28017,2.06717,-0.1418492,-0.651207,0.747026,4.196415,43.42982,-10.321,992.2467
1.339450359,-89.23242,17.75144,0.2303556,-0.1299924,-0.6346655,0.8003955,4.196415,43.42982,-10.321,992.2467
1.347059727,-99.51245,20.16213,-3.93309,-0.1521,-0.6164691,0.7863948,4.196415,43.42982,-10.321,992.2467
1.354668140,-106.3245,23.57237,-7.606719,-0.2052908,-0.6124566,0.751378,4.196415,43.42982,-10.321,992.2467
1.362277508,-114.8086,21.22048,-14.52539,-0.2543451,-0.5756685,0.7263474,4.196415,43.42982,-10.321,992.2467
1.369885921,-127.1323,15.51715,-23.64823,-0.2566093,-0.5900251,0.6583411,4.975395,43.79258,-8.099967,992.2467
1.377495289,-148.869,6.521161,-27.32186,-0.1733904,-0.6552352,0.6712241,4.975395,43.79258,-8.099967,992.2467
1.385104179,-164.5367,0.7002301,-29.15868,-0.1317776,-0.7266824,0.6248935,4.975395,43.79258,-8.099967,992.2467
1.395249367,-160.0779,3.28731,-30.38322,-0.1017134,-0.7996508,0.519212,4.975395,43.79258,-8.099967,992.2467
1.402858734,-155.8049,7.579512,-31.36285,-0.1166778,-0.8158696,0.5827481,4.975395,43.79258,-8.099967,992.2467
1.410467148,-154.6902,5.756796,-32.89353,-0.1637629,-0.7898632,0.4741771,4.975395,43.79258,-8.099967,992.2467
1.418076515,-160.821,-0.358121,-38.22029,-0.1461394,-0.7989025,0.4835595,5.051548,44.5276,-2.746586,992.245
1.425686359,-165.2798,-2.063242,-40.05711,-0.1264081,-0.8700935,0.4325453,5.051548,44.5276,-2.746586,992.245
1.433294296,-163.6078,-4.415133,-40.73061,-0.1320646,-0.9049911,0.3373023,5.051548,44.5276,-2.746586,992.245
1.440907001,-156.3622,-6.767025,-41.77147,-0.1043435,-0.9145334,0.2584486,5.051548,44.5276,-2.746586,992.245
1.448512077,-146.7634,-8.001767,-40.60815,-0.03388624,-0.9370124,0.3820059,5.051548,44.5276,-2.746586,992.245
1.456120968,-149.3644,-2.651215,-37.73047,-0.07066269,-0.9483974,0.3119184,5.051548,44.5276,-2.746586,992.245
1.463730335,-141.5615,-3.239188,-37.42434,-0.1289712,-0.9602879,0.2157,3.666501,43.42807,3.399262,992.245
1.471338749,-136.5453,-7.94297,-39.19992,-0.1192241,-0.9807109,0.1932276,3.666501,43.42807,3.399262,992.245
1.478948116,-128.185,-13.8227,-40.91429,-0.09169105,-0.9416746,0.07996505,3.666501,43.42807,3.399262,992.245
1.489093304,-121.6826,-16.11579,-39.32238,0.05031366,-0.9437034,0.3309982,3.666501,43.42807,3.399262,992.245
1.496701717,-131.7769,-7.119808,-33.01598,-0.01920316,-1.007615,0.1571992,3.666501,43.42807,3.399262,992.2454
1.504313946,-119.2674,-10.76524,-32.40371,-0.03379939,-1.035291,-0.1038572,3.666501,43.42807,3.399262,992.2454
1.511915684,-96.10641,-16.58617,-30.38322,0.08871967,-1.009351,0.1757489,1.818746,42.33224,7.892432,992.2454
1.519525051,-99.26474,-5.120701,-22.91351,0.06725825,-1.027109,0.136552,1.818746,42.33224,7.892432,992.2454
1.527133465,-86.75531,-2.945201,-19.48479,0.009150161,-1.017921,-0.04634151,1.818746,42.33224,7.892432,992.2454
