Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
1.297486305,-57.67936,-24.09886,-28.77627,-0.1492266,-0.6968738,0.7532598,10.76336,33.61137,-2.510128,992.1834
1.305087566,-62.84497,-25.93282,-30.49199,-0.1233718,-0.6920672,0.7590994,10.06141,33.61071,-2.069544,992.1834
1.312689781,-68.88188,-25.8145,-30.55327,-0.0877693,-0.68204,0.7882295,10.06141,33.61071,-2.069544,992.1834
1.320291996,-78.34178,-25.8145,-29.63413,-0.06068995,-0.6622251,0.7959042,10.06141,33.61071,-2.069544,992.1834
1.327894687,-90.35337,-25.5187,-28.46988,-0.04771446,-0.6810363,0.7736379,10.06141,33.61071,-2.069544,992.1834
1.335497379,-99.75103,-23.92138,-27.85713,-0.0428309,-0.709131,0.7825533,10.06141,33.61071,-2.069544,992.1834
1.343100071,-108.6508,-23.4481,-26.1414,-0.002170149,-0.7193406,0.7377203,10.06141,33.61071,-2.069544,992.1875
1.353236675,-119.3554,-18.30121,-22.34229,-0.006200608,-0.7443617,0.7196937,9.300505,33.21679,-0.7408791,992.1875
1.360838890,-122.9029,-19.42524,-22.21974,-0.01588434,-0.7574316,0.667217,9.300505,33.21679,-0.7408791,992.1875
1.368441105,-128.4419,-12.97683,-20.87166,-0.03115487,-0.779614,0.6739344,9.300505,33.21679,-0.7408791,992.1875
1.376043796,-136.906,-10.3738,-18.35935,-0.06018323,-0.7774661,0.6122534,9.300505,33.21679,-0.7408791,992.1875
1.383646011,-144.1254,-9.604725,-18.42063,-0.01287681,-0.8279076,0.6190051,9.300505,33.21679,-0.7408791,992.1875
1.391248703,-145.9303,-6.055139,-17.50149,-0.005683667,-0.8314334,0.5290461,9.300505,33.21679,-0.7408791,992.1875
1.398851395,-147.0505,-2.919672,-15.54065,-0.003334696,-0.8533575,0.5434433,8.542601,33.52205,3.280619,992.1875
1.406453132,-150.4113,-2.209755,-15.05045,-0.003518107,-0.849736,0.4879888,8.542601,33.52205,3.280619,992.1875
1.414055824,-151.0336,1.339829,-14.13131,-0.01869653,-0.8754987,0.5095871,8.542601,33.52205,3.280619,992.1875
1.421658516,-158.1286,0.0974746,-13.76365,0.002360153,-0.9123092,0.4694384,8.542601,33.52205,3.280619,992.1875
1.429261207,-156.8216,0.7482318,-14.56024,0.03449175,-0.9462244,0.3728147,8.542601,33.52205,3.280619,992.1875
1.436867714,-150.6602,7.137485,-11.12878,0.03333289,-0.9606965,0.4043227,8.542601,33.52205,3.280619,992.1875
1.447000027,-146.117,7.906561,-8.677744,0.04407212,-0.9410024,0.3212353,8.542601,33.52205,3.280619,992.1875
1.454602241,-139.3333,12.22522,-4.327149,0.01822027,-0.9162759,0.3151969,7.795528,32.31347,7.727671,992.1875
1.462204456,-145.3702,10.56875,-4.388425,0.003203249,-0.9345518,0.2452125,7.795528,32.31347,7.727671,992.1857
1.469807148,-139.3955,8.20236,-3.285458,-0.00877859,-0.9546318,0.2070519,7.795528,32.31347,7.727671,992.1857
1.477409840,-134.3544,9.089756,-4.817357,-0.004508566,-0.9736822,0.2268309,7.795528,32.31347,7.727671,992.1857
1.485012531,-123.712,6.782526,-4.143322,-0.005009877,-0.9291093,0.1115789,7.795528,32.31347,7.727671,992.1857
1.492614269,-124.8322,9.740513,-3.469286,-0.02391313,-0.9440086,0.2972203,7.795528,32.31347,7.727671,992.1857
